GenBankID	SpeciesName	Family
NC_023092	Liquidambar_formosana	Altingiaceae
NC_021423	Catharanthus_roseus	Apocynaceae
NC_044416	Ilex_cornuta	Aquifoliaceae
NC_022810	Aralia_undulata 	Araliaceae
NC_008336	Nandina_domestica	Berberidaceae
NC_041275	Berberidopsis_corallina	Berberidopsidaceae
NC_051949	Butomus_umbellatus	Butomaceae
NC_009599	Buxus_microphylla	Buxaceae
NC_084871	Clethra_petelotii	Clethraceae
NC_044820	Cornus_florida	Cornaceae
NC_015983	Cucumis_melo	Cucurbitaceae
PP722976	Enkianthus_campanulatus	Ericaceae
NC_018541	Elodea_canadensis	Hydrocharitaceae
NC_060996	Blyxa_aubertii	Hydrocharitaceae
MT241434	Ottelia_ovalifolia	Hydrocharitaceae
NC_061222	Hydrocharis_morsus-ranae	Hydrocharitaceae
NC_061223	Limnobium_laevigatum	Hydrocharitaceae
NC_040223	Tricyrtis_macropoda	Liliaceae
NC_041298	Mollugo_verticillata	Molluginaceae
NC_058945	Musa_acuminata	Musaceae
NC_008788	Nuphar_advena	Nymphaeaceae
KU551270	Neottia_fugongensis	Orchidaceae
NC_030704	Cephalanthera_longifolia	Orchidaceae
MW877560	Antirrhinum_majus	Plantaginaceae
NC_008335	Platanus_occidentalis	Platanaceae
NC_036236	Portulaca_oleracea	Portulacaceae
NC_057253	Stuckenia_pectinata	Potamogetonaceae
NC_021121	Ardisia_polysticta	Primulaceae
NC_056376	Stemona_tuberosa	Stemonaceae
NC_039672	Croomia_japonica	Stemonaceae
