GenomeAccession	Species	Gene	Start	End	Length	Strand	ReferenceAccession
MZ959065	Actinidia_eriantha	atpf	11781	13065	1285	-	NC_021423.1
MZ959065	Actinidia_eriantha	clpp	72392	73528	1137	-	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnd-guc	33023	33096	74	+	NC_021423.1
MF120262	Allotropa_virgata	trne-uuc	32679	32752	74	+	MT742578.1
MF120262	Allotropa_virgata	trne-uuc	32679	32751	73	+	MT742578.1
MF120262	Allotropa_virgata	trne-uuc	32679	32751	73	+	MT742578.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnfm-cau	22527	22600	74	+	NC_021423.1
MF120262	Allotropa_virgata	trnh-gug	12790	12864	75	-	MT742578.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trni-cau	2105	2178	74	-	NC_021423.1
MF120262	Allotropa_virgata	trnk-uuu	1896	35174	33279	+	NC_021423.1
MF120262	Allotropa_virgata	trnk-uuu	35174	35331	158	+	NC_021423.1
MF120262	Allotropa_virgata	trnl-uaa	23306	23456	151	-	NC_023247.1
MF120262	Allotropa_virgata	trnl-uag	11899	11971	73	-	PP722976.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnn-guu	11590	11661	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trnr-ucu	34759	34830	72	-	NC_021423.1
MF120262	Allotropa_virgata	trns-gcu	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gcu	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gcu	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gcu	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gcu	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34871	34957	87	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34930	34957	28	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34930	34957	28	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34930	34957	28	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34930	34957	28	+	NC_021423.1
MF120262	Allotropa_virgata	trns-gga	34930	34957	28	+	NC_021423.1
MF120262	Allotropa_virgata	trns-uga	26246	26336	91	-	NC_021423.1
MF120262	Allotropa_virgata	trns-uga	26246	26336	91	-	NC_021423.1
MF120262	Allotropa_virgata	trns-uga	26246	26337	92	-	NC_021423.1
MF120262	Allotropa_virgata	trns-uga	26246	26337	92	-	NC_021423.1
MF120262	Allotropa_virgata	trns-uga	26246	26337	92	-	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32900	86	+	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32899	85	+	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32899	85	+	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32899	85	+	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32899	85	+	NC_021423.1
MF120262	Allotropa_virgata	trny-gua	32815	32899	85	+	NC_021423.1
JQ067650	Arbutus_unedo	accd	60121	60679	559	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	trnfm-cau	50820	50892	73	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	108439	109646	1208	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	108439	109189	751	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	108439	108911	473	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	108439	108911	473	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	108439	108911	473	+	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	133523	134730	1208	-	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	133980	134730	751	-	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	134258	134730	473	-	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	134258	134730	473	-	NC_021423.1
JQ067650	Arbutus_unedo	ycf1	134258	134730	473	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	accd	45164	45721	558	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	infa	89229	89356	128	-	PP722976.1
NC_057623	Gaultheria_griffithiana	ndhg	133519	134048	530	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	133519	134048	530	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	133519	134048	530	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	133519	134048	530	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	148761	149290	530	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	148761	149290	530	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	148761	149290	530	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	148761	149290	530	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhg	148761	149290	530	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhk	10530	11207	678	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhk	10530	11207	678	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhk	10530	11207	678	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	ndhk	10608	11207	600	-	NC_021423.1
NC_057623	Gaultheria_griffithiana	trng-gcc	52742	62783	10042	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trng-gcc	52742	52812	71	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trng-gcc	52742	52812	71	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trng-gcc	52742	52812	71	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trng-gcc	52742	52812	71	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	trnp-ugg	33192	33265	74	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ycf2	97376	100315	2940	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ycf2	97376	97634	259	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ycf2	97376	97634	259	+	NC_021423.1
NC_057623	Gaultheria_griffithiana	ycf2	97376	97634	259	+	NC_021423.1
MT491729	Monotropa_uniflora	rpl16	7258	7733	476	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4137	4311	175	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4150	4311	162	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4150	4311	162	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4150	4311	162	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4150	4311	162	-	NC_021423.1
MT491729	Monotropa_uniflora	rps18	4150	4311	162	-	NC_021423.1
MT491729	Monotropa_uniflora	rps2	20591	21150	560	-	NC_023247.1
MT491729	Monotropa_uniflora	trnk-uuu	18513	20001	1489	-	MT742578.1
NC_035584	Pityopus_californicus	atpb	22791	22886	96	-	MT742578.1
NC_035584	Pityopus_californicus	rps3	15453	16130	678	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trnd-guc	33232	33305	74	+	NC_021423.1
NC_035584	Pityopus_californicus	trne-uuc	32805	32878	74	+	NC_008788.1
NC_035584	Pityopus_californicus	trne-uuc	32805	32877	73	+	NC_008788.1
NC_035584	Pityopus_californicus	trne-uuc	32805	32877	73	+	NC_008788.1
NC_035584	Pityopus_californicus	trne-uuc	32805	32877	73	+	NC_008788.1
NC_035584	Pityopus_californicus	trne-uuc	32805	32877	73	+	NC_008788.1
NC_035584	Pityopus_californicus	trnfm-cau	22715	22787	73	+	PP722976.1
NC_035584	Pityopus_californicus	trnh-gug	12450	12524	75	+	MT742578.1
NC_035584	Pityopus_californicus	trnh-gug	12450	12524	75	+	MT742578.1
NC_035584	Pityopus_californicus	trnh-gug	12450	12524	75	+	MT742578.1
NC_035584	Pityopus_californicus	trnh-gug	12450	12524	75	+	MT742578.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trni-cau	2101	2174	74	-	NC_021423.1
NC_035584	Pityopus_californicus	trnk-uuu	1529	35118	33590	+	NC_021423.1
NC_035584	Pityopus_californicus	trnk-uuu	35118	35307	190	+	NC_021423.1
NC_035584	Pityopus_californicus	trnk-uuu	35118	35309	192	+	NC_021423.1
NC_035584	Pityopus_californicus	trnk-uuu	35118	35309	192	+	NC_021423.1
NC_035584	Pityopus_californicus	trnl-uaa	23570	23693	124	-	NC_021423.1
NC_035584	Pityopus_californicus	trnl-uag	11721	11800	80	-	NC_008788.1
NC_035584	Pityopus_californicus	trnl-uag	11721	11800	80	-	NC_008788.1
NC_035584	Pityopus_californicus	trnl-uag	11721	11800	80	-	NC_008788.1
NC_035584	Pityopus_californicus	trnl-uag	11721	11800	80	-	NC_008788.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trnn-guu	11364	11435	72	-	NC_021423.1
NC_035584	Pityopus_californicus	trns-uga	25686	25776	91	-	NC_021423.1
NC_035584	Pityopus_californicus	trns-uga	25686	25776	91	-	NC_021423.1
NC_035584	Pityopus_californicus	trns-uga	25686	25777	92	-	NC_021423.1
NC_035584	Pityopus_californicus	trns-uga	25686	25777	92	-	NC_021423.1
NC_035584	Pityopus_californicus	trns-uga	25686	25777	92	-	NC_021423.1
